Premise,conclusion
<java> <php>,<python>
<php> <html>,<java>
<java> <html>,<php>
<java> <php>,<html>
<c#> <python>,<java>
<java> <python>,<c#>
<java> <c#>,<python>
<shiro> <mybatis>,<java>
<java> <shiro>,<mybatis>
<java> <mybatis>,<shiro>
<java> <shiro>,<apache>
<apache> <shiro>,<java>
<apache> <java>,<shiro>
<java> <shiro>,<spring>
<spring> <shiro>,<java>
<spring> <java>,<shiro>
<java> <mybatis>,<bootstrap>
<bootstrap> <mybatis>,<java>
<java> <bootstrap>,<mybatis>
<java> <mybatis>,<spring>
<spring> <mybatis>,<java>
<spring> <java>,<mybatis>
<spring> <java>,<apache>
<spring> <apache>,<java>
<apache> <java>,<spring>
<java> <bootstrap>,<spring>
<spring> <bootstrap>,<java>
<spring> <java>,<bootstrap>
<shiro> <mybatis>,<spring>
<spring> <mybatis>,<shiro>
<spring> <shiro>,<mybatis>
<spring> <mybatis>,<bootstrap>
<spring> <bootstrap>,<mybatis>
<bootstrap> <mybatis>,<spring>
<spring> <shiro>,<apache>
<spring> <apache>,<shiro>
<apache> <shiro>,<spring>
<mybatis> <mysql>,<java>
<java> <mysql>,<mybatis>
<java> <mybatis>,<mysql>
<java> <mysql>,<spring>
<spring> <mysql>,<java>
<spring> <java>,<mysql>
<java> <hibernate>,<spring>
<spring> <hibernate>,<java>
<spring> <java>,<hibernate>
<java> <android>,<ios>
<ios> <android>,<java>
<ios> <java>,<android>
<mysql> <数据库>,<java>
<java> <数据库>,<mysql>
<java> <mysql>,<数据库>
<node.js> <angularjs>,<javascript>
<javascript> <angularjs>,<node.js>
<node.js> <javascript>,<angularjs>
<html> <python>,<css>
<css> <python>,<html>
<css> <html>,<python>
<javascript> <python>,<html>
<html> <python>,<javascript>
<html> <javascript>,<python>
<html> <javascript>,<css>
<css> <javascript>,<html>
<css> <html>,<javascript>
<javascript> <python>,<css>
<css> <python>,<javascript>
<css> <javascript>,<python>
<mybatis> <redis>,<java>
<java> <redis>,<mybatis>
<java> <mybatis>,<redis>
<java> <redis>,<spring>
<spring> <redis>,<java>
<spring> <java>,<redis>
<mybatis> <redis>,<spring>
<spring> <redis>,<mybatis>
<spring> <mybatis>,<redis>
<数据库> <sql>,<java>
<java> <数据库>,<sql>
<java> <sql>,<数据库>
<java> <mysql>,<redis>
<mysql> <redis>,<java>
<java> <redis>,<mysql>
<css> <php>,<wordpress>
<wordpress> <css>,<php>
<wordpress> <php>,<css>
<maven> <eclipse>,<java>
<java> <eclipse>,<maven>
<java> <maven>,<eclipse>
<javascript> <jquery>,<css>
<css> <jquery>,<javascript>
<css> <javascript>,<jquery>
<javascript> <jquery>,<c#>
<c#> <jquery>,<javascript>
<c#> <javascript>,<jquery>
<数据库> <oracle>,<java>
<java> <数据库>,<oracle>
<java> <oracle>,<数据库>
<objective-c> <android>,<ios>
<ios> <android>,<objective-c>
<ios> <objective-c>,<android>
<php> <android>,<ios>
<ios> <android>,<php>
<ios> <php>,<android>
<java> <c#>,<c++>
<c++> <c#>,<java>
<c++> <java>,<c#>
<java> <maven>,<spring>
<spring> <maven>,<java>
<spring> <java>,<maven>
<java> <管理系统>,<spring>
<spring> <管理系统>,<java>
<spring> <java>,<管理系统>
<mybatis> <管理系统>,<java>
<java> <管理系统>,<mybatis>
<java> <mybatis>,<管理系统>
<mybatis> <管理系统>,<spring>
<spring> <管理系统>,<mybatis>
<spring> <mybatis>,<管理系统>
<数据库> <管理系统>,<java>
<java> <管理系统>,<数据库>
<java> <数据库>,<管理系统>
<shiro> <管理系统>,<java>
<java> <管理系统>,<shiro>
<java> <shiro>,<管理系统>
<ios> <android>,<c++>
<c++> <android>,<ios>
<c++> <ios>,<android>
<app> <android>,<java>
<java> <android>,<app>
<java> <app>,<android>
<java> <数据库>,<spring>
<spring> <数据库>,<java>
<spring> <java>,<数据库>
<shell> <linux>,<bash>
<bash> <linux>,<shell>
<bash> <shell>,<linux>
<mybatis> <maven>,<spring>
<spring> <maven>,<mybatis>
<spring> <mybatis>,<maven>
<mysql> <数据库>,<oracle>
<数据库> <oracle>,<mysql>
<mysql> <oracle>,<数据库>
<css> <javascript>,<java>
<java> <javascript>,<css>
<java> <css>,<javascript>
<html> <javascript>,<java>
<java> <javascript>,<html>
<java> <html>,<javascript>
<css> <html>,<java>
<java> <html>,<css>
<java> <css>,<html>
<javascript> <jquery>,<json>
<json> <jquery>,<javascript>
<json> <javascript>,<jquery>
<mysql> <oracle>,<java>
<java> <oracle>,<mysql>
<java> <mysql>,<oracle>
<mybatis> <maven>,<java>
<java> <maven>,<mybatis>
<java> <mybatis>,<maven>
<mysql> <sql>,<java>
<java> <sql>,<mysql>
<java> <mysql>,<sql>
<cordova> <android>,<ios>
<ios> <android>,<cordova>
<ios> <cordova>,<android>
<mybatis> <数据库>,<java>
<java> <数据库>,<mybatis>
<java> <mybatis>,<数据库>
<javascript> <jquery>,<html>
<html> <jquery>,<javascript>
<html> <javascript>,<jquery>
<java> <python>,<c++>
<c++> <python>,<java>
<c++> <java>,<python>
<c#> <python>,<c++>
<c++> <python>,<c#>
<c++> <c#>,<python>
<javascript> <jquery>,<angularjs>
<jquery> <angularjs>,<javascript>
<javascript> <angularjs>,<jquery>
<javascript> <jquery>,<ajax>
<ajax> <jquery>,<javascript>
<ajax> <javascript>,<jquery>
<html> <javascript>,<html5>
<html5> <javascript>,<html>
<html5> <html>,<javascript>
<java> <dubbo>,<spring>
<spring> <dubbo>,<java>
<spring> <java>,<dubbo>
<app> <android>,<ios>
<ios> <android>,<app>
<ios> <app>,<android>
<javascript> <jquery>,<ios>
<ios> <jquery>,<javascript>
<ios> <javascript>,<jquery>
<javascript> <jquery>,<android>
<jquery> <android>,<javascript>
<javascript> <android>,<jquery>
<javascript> <android>,<ios>
<ios> <android>,<javascript>
<ios> <javascript>,<android>
<android> <jquery>,<ios>
<ios> <android>,<jquery>
<ios> <jquery>,<android>
<javascript> <android>,<cordova>
<cordova> <android>,<javascript>
<cordova> <javascript>,<android>
<objective-c> <swift>,<ios>
<ios> <swift>,<objective-c>
<ios> <objective-c>,<swift>
<c++> <linux>,<c>
<c> <linux>,<c++>
<c> <c++>,<linux>
<mongodb> <node.js>,<javascript>
<node.js> <javascript>,<mongodb>
<mongodb> <javascript>,<node.js>
<shiro> <redis>,<java>
<java> <redis>,<shiro>
<java> <shiro>,<redis>
<shiro> <redis>,<spring>
<spring> <redis>,<shiro>
<spring> <shiro>,<redis>
<ios> <objective-c>,<xcode>
<xcode> <objective-c>,<ios>
<xcode> <ios>,<objective-c>
<java> <python>,<c>
<c> <python>,<java>
<c> <java>,<python>
<c++> <java>,<c>
<c> <c++>,<java>
<c> <java>,<c++>
<c> <python>,<c++>
<c++> <python>,<c>
<c++> <c>,<python>
<java> <swift>,<ios>
<ios> <java>,<swift>
<ios> <swift>,<java>
<mysql> <php>,<sql>
<php> <sql>,<mysql>
<mysql> <sql>,<php>
<html> <jquery>,<css>
<css> <jquery>,<html>
<css> <html>,<jquery>
<html> <c#>,<css>
<css> <c#>,<html>
<css> <html>,<c#>
<c#> <javascript>,<html>
